iter	Passed	Remaining
988	25335	281
989	25359	256
990	25383	230
991	25410	204
992	25433	179
993	25460	153
994	25485	128
995	25508	102
996	25531	76
997	25559	51
998	25586	25
999	25607	0
